Date ,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Date 
19/1/2025,-1.8,-3.9,86,4,8,101.24,19/1/2025
19/1/2025,-1.8,-3.7,87,4,8,101.24,19/1/2025
19/1/2025,-1.8,-3.4,89,7,4,101.26,19/1/2025
19/1/2025,-1.5,-3.2,88,6,4,101.27,19/1/2025
19/1/2025,-1.5,-3.3,88,7,4.8,101.23,19/1/2025
19/1/2025,-1.4,-3.3,87,9,6.4,101.27,19/1/2025
19/1/2025,-1.5,-3.1,89,7,6.4,101.29,19/1/2025
19/1/2025,-1.4,-3.6,85,7,8,101.26,19/1/2025
19/1/2025,-1.4,-3.6,85,9,8,101.23,19/1/2025
19/1/2025,-1.3,-3.1,88,15,4,101.2,19/1/2025
19/1/2025,-1,-2.3,91,9,1.2,101.15,19/1/2025
19/1/2025,-0.5,-2.1,89,7,4,100.98,19/1/2025
19/1/2025,-0.2,-2,88,9,4.8,100.79,19/1/2025
19/1/2025,0.2,-1.7,87,13,4.8,100.58,19/1/2025
19/1/2025,0.8,-1.1,87,20,4.8,100.31,19/1/2025
19/1/2025,1.8,-0.4,85,22,6.4,100.07,19/1/2025
19/1/2025,2.6,-0.2,82,13,12.9,99.93,19/1/2025
19/1/2025,3,0,81,13,16.1,99.81,19/1/2025
19/1/2025,3.8,1,82,15,12.9,99.74,19/1/2025
19/1/2025,3.1,1.3,88,15,12.9,99.68,19/1/2025
19/1/2025,3.2,1.3,87,19,25,99.5,19/1/2025
19/1/2025,4,1.7,85,20,25,99.39,19/1/2025
19/1/2025,4.4,1.9,84,24,19.3,99.32,19/1/2025
19/1/2025,5.3,2,79,30,25,99.31,19/1/2025
19/1/2025,5.2,1.5,77,35,25,99.26,19/1/2025
19/1/2025,4.6,0,72,39,25,99.26,19/1/2025
19/1/2025,3.9,-0.9,71,32,25,99.26,19/1/2025
19/1/2025,3.7,-1.5,69,33,25,99.3,19/1/2025
19/1/2025,2.9,-2.3,69,32,25,99.26,19/1/2025
19/1/2025,2.6,-2.3,70,32,25,99.21,19/1/2025
19/1/2025,2.3,-2.6,70,26,25,99.18,19/1/2025
19/1/2025,2,-2.9,70,33,25,99.14,19/1/2025
19/1/2025,1.9,-3.3,68,39,24.1,99.14,19/1/2025
19/1/2025,1.8,-3.7,67,44,24.1,99.14,19/1/2025
19/1/2025,1.5,-4.1,66,43,24.1,99.18,19/1/2025
19/1/2025,2.2,-3.5,66,30,24.1,99.19,19/1/2025
19/1/2025,1.7,-6.2,56,48,24.1,99.21,19/1/2025
19/1/2025,1.1,-6.5,57,37,24.1,99.27,19/1/2025
19/1/2025,1.1,-6.8,56,33,24.1,99.33,19/1/2025
19/1/2025,0,-7,59,33,24.1,99.41,19/1/2025
19/1/2025,-0.7,-8.7,55,24,24.1,99.5,19/1/2025
19/1/2025,-2.1,-9.5,57,22,25,99.66,19/1/2025
19/1/2025,-4.1,-11.4,57,28,25,99.86,19/1/2025
19/1/2025,-4.8,-12.1,57,24,25,100,19/1/2025
19/1/2025,-5.6,-13.4,54,24,25,100.07,19/1/2025
19/1/2025,-5.8,-12.8,58,26,25,100.15,19/1/2025
19/1/2025,-7,-14.7,54,20,25,100.26,19/1/2025
19/1/2025,-7.4,-14.1,59,17,19.3,100.27,19/1/2025
19/1/2025,-9,-16,57,28,25,100.35,19/1/2025
19/1/2025,-9.7,-17.2,54,20,25,100.43,19/1/2025
19/1/2025,-10.5,-15.8,65,22,12.9,100.53,19/1/2025
19/1/2025,-11.3,-18.7,54,33,25,100.61,19/1/2025
19/1/2025,-12.6,-20.1,53,24,25,100.68,19/1/2025
19/1/2025,-12.9,-19.1,60,22,25,100.76,19/1/2025
19/1/2025,-13.3,-19.3,61,19,25,100.85,19/1/2025
19/1/2025,-14,-19.5,63,19,25,100.95,19/1/2025
19/1/2025,-14.8,-21.3,58,26,24.1,101.07,19/1/2025
19/1/2025,-15,-21.9,56,19,24.1,101.2,19/1/2025
19/1/2025,-15.3,-22.2,56,24,24.1,101.29,19/1/2025
19/1/2025,-14.9,-22.2,54,22,24.1,101.33,19/1/2025
19/1/2025,-14.9,-22.6,52,20,24.1,101.34,19/1/2025
19/1/2025,-15.1,-22.4,54,22,24.1,101.34,19/1/2025
19/1/2025,-14.9,-22.9,50,22,24.1,101.38,19/1/2025
19/1/2025,-14.8,-22.2,53,19,24.1,101.44,19/1/2025
19/1/2025,-15.3,-22.9,52,22,24.1,101.51,19/1/2025
19/1/2025,-15.8,-23.2,53,22,24.1,101.58,19/1/2025
19/1/2025,-16.3,-23.8,52,24,25,101.64,19/1/2025
19/1/2025,-16.9,-24.8,50,24,25,101.74,19/1/2025
19/1/2025,-17.3,-25.4,49,24,25,101.82,19/1/2025
19/1/2025,-17,-24.6,52,15,25,101.86,19/1/2025
19/1/2025,-17.1,-24.6,52,20,25,101.86,19/1/2025
19/1/2025,-17.3,-24.2,55,17,25,101.87,19/1/2025
19/1/2025,-17.5,-24.2,56,13,25,101.88,19/1/2025
19/1/2025,-17.9,-24.1,58,11,25,101.86,19/1/2025
19/1/2025,-18.1,-23.8,61,15,25,101.89,19/1/2025
19/1/2025,-18.5,-24.6,59,13,25,101.88,19/1/2025
19/1/2025,-18.5,-24.6,59,13,25,101.82,19/1/2025
19/1/2025,-18.6,-24,62,9,25,101.77,19/1/2025
19/1/2025,-18.5,-24.1,61,11,25,101.74,19/1/2025
19/1/2025,-18.2,-24.1,60,11,25,101.75,19/1/2025
19/1/2025,-17.8,-24.2,57,17,24.1,101.73,19/1/2025
19/1/2025,-16.8,-22.5,61,9,24.1,101.68,19/1/2025
19/1/2025,-15.2,-20.6,63,7,24.1,101.54,19/1/2025
19/1/2025,-14.2,-21.1,56,13,24.1,101.41,19/1/2025
19/1/2025,-13.7,-21.7,51,11,24.1,101.25,19/1/2025
19/1/2025,-12.4,-20.1,53,11,24.1,101.07,19/1/2025
19/1/2025,-11.3,-19,53,7,19.3,100.97,19/1/2025
19/1/2025,-10.2,-16.3,61,11,9.7,100.89,19/1/2025
19/1/2025,-9.4,-15.5,61,13,19.3,100.79,19/1/2025
19/1/2025,-8.9,-13.2,71,9,4.8,100.76,19/1/2025
19/1/2025,-8.9,-12.6,75,11,9.7,100.69,19/1/2025
19/1/2025,-8.4,-12.7,71,9,16.1,100.65,19/1/2025
19/1/2025,-7.8,-12.1,71,9,16.1,100.61,19/1/2025
19/1/2025,-7.6,-11.6,73,7,11.3,100.54,19/1/2025
19/1/2025,-9.5,-12.7,77,6,9.7,100.5,19/1/2025
19/1/2025,-9.6,-12.6,79,6,9.7,100.42,19/1/2025
19/1/2025,-8.8,-11.7,79,4,9.7,100.32,19/1/2025
19/1/2025,-7.5,-10.2,81,0,9.7,100.29,19/1/2025
19/1/2025,-5.4,-8.3,80,9,8,100.28,19/1/2025
19/1/2025,-5,-7.7,81,11,9.7,100.24,19/1/2025
19/1/2025,-4.1,-6.5,83,9,4.8,100.21,19/1/2025
19/1/2025,-7,-9.5,82,4,4,100.19,19/1/2025
19/1/2025,-8.2,-10.7,82,6,6.4,100.26,19/1/2025
19/1/2025,-7.1,-9.7,82,9,9.7,100.31,19/1/2025
19/1/2025,-6.1,-9.1,79,11,9.7,100.39,19/1/2025
19/1/2025,-6.6,-10.1,76,9,24.1,100.42,19/1/2025
19/1/2025,-6,-10,73,17,48.3,100.45,19/1/2025
19/1/2025,-5.6,-10.2,70,22,48.3,100.41,19/1/2025
19/1/2025,-4.7,-9.6,69,20,48.3,100.38,19/1/2025
19/1/2025,-4.4,-9.7,66,26,48.3,100.4,19/1/2025
19/1/2025,-5.1,-10.7,65,22,48.3,100.46,19/1/2025
19/1/2025,-4.3,-12,55,26,48.3,100.52,19/1/2025
19/1/2025,-5,-12.7,55,19,24.1,100.6,19/1/2025
19/1/2025,-6.7,-14.1,56,11,25,100.65,19/1/2025
19/1/2025,-7.1,-14.4,56,11,25,100.71,19/1/2025
19/1/2025,-9.2,-15.4,61,7,25,100.8,19/1/2025
